,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
71,71,28 days later...,6,15,15,11
72,72,the night house,11,3,4,5
73,73,insidious,11,3,4,5
74,74,dracula,6,12,16,36
75,75,it follows,11,3,4,5
76,76,constantine,4,12,16,106
77,77,life,11,14,4,69
78,78,el hoyo,11,14,4,69
79,79,the invisible man,6,15,3,56
80,80,world war z,4,11,16,58
81,81,event horizon,11,14,4,69
82,82,the new mutants,4,15,3,179
83,83,10 cloverfield lane,6,15,3,56
84,84,busanhaeng,4,15,4,109
85,85,under the skin,6,15,3,56
86,86,malignant,5,15,3,90
87,87,what ever happened to baby jane?,6,15,4,6
88,88,saw,11,3,4,5
89,89,blade,4,15,15,48
90,90,the rocky horror picture show,8,15,6,148
91,91,the others,11,3,4,5
92,92,don't breathe,5,15,4,124
93,93,titane,6,15,15,11
94,94,the killing of a sacred deer,6,15,3,56
95,95,eight for silver,10,15,3,114
96,96,the poughkeepsie tapes,11,3,4,5
97,97,vivarium,11,3,15,33
98,98,the crow,4,5,7,9
99,99,hotel transylvania: transformania,12,11,10,7
100,100,escape room: tournament of champions,4,11,16,58
101,101,the conjuring: the devil made me do it,11,3,4,5
102,102,the descent,9,15,4,101
103,103,the craft,6,12,16,36
104,104,zombieland,4,10,16,98
105,105,they live,4,15,15,48
106,106,a cure for wellness,6,12,16,36
107,107,don't breathe 2,4,5,16,127
108,108,the rental,6,15,3,56
109,109,urban legend,11,3,4,5
110,110,the visit,11,3,4,5
111,111,spiral: from the book of saw,5,15,3,90
112,112,little shop of horrors,8,15,6,148
113,113,the fly,6,15,15,11
114,114,friday the 13th,11,3,4,5
115,115,47 meters down,9,6,16,85
116,116,antlers,6,15,3,56
117,117,vampires,4,15,4,109
118,118,jaws 2,9,15,4,101
119,119,escape room,4,11,16,58
120,120,gerald's game,6,15,4,6
121,121,the purge,11,14,4,69
122,122,la tua presenza nuda!,5,6,16,74
123,123,ang-ma-reul bo-at-da,4,5,7,9
124,124,resident evil: apocalypse,4,15,15,48
125,125,doom,4,15,15,48
126,126,mandy,4,12,16,106
127,127,the house that jack built,5,6,16,74
128,128,pitch black,4,15,15,48
129,129,climax,6,15,2,187
130,130,the conjuring 2,11,3,4,5
131,131,dark shadows,8,12,16,22
132,132,gremlins,8,12,16,22
133,133,marrowbone,9,6,16,85
134,134,glass,6,15,15,11
135,135,blair witch,11,3,4,5
136,136,evil dead rise,10,15,4,19
137,137,sleepy hollow,10,15,3,114
138,138,the mummy: tomb of the dragon emperor,4,12,16,106
139,139,cloverfield,4,15,15,48
140,140,the cloverfield paradox,4,15,15,48
141,141,choose or die,6,15,4,6
142,142,resident evil: retribution,4,15,15,48
143,143,no one gets out alive,6,15,3,56
144,144,antichrist,6,15,4,6
145,145,the cell,5,15,15,11
146,146,fantasy island,10,15,3,114
147,147,the forever purge,4,15,4,109
148,148,scary stories to tell in the dark,9,15,3,183
149,149,teeth,8,12,16,22
150,150,the dead don't die,8,12,16,22
151,151,gokseong,6,15,3,56
152,152,the ritual,11,3,4,5
153,153,crawl,4,11,16,58
154,154,freaky,8,15,4,131
155,155,alien resurrection,4,15,15,48
156,156,the boy,11,3,4,5
157,157,the faculty,11,3,15,33
158,158,halloween,5,15,4,124
159,159,the witches,9,10,9,31
160,160,angel heart,11,3,4,5
161,161,alien³,4,15,15,48
162,162,the nun,11,3,4,5
163,163,willy's wonderland,4,10,16,98
164,164,crimson peak,6,15,3,56
165,165,studio 666,8,15,2,54
166,166,death becomes her,8,12,16,22
167,167,the turning,6,15,3,56
168,168,cube,6,15,3,56
169,169,avp: alien vs. predator,4,11,16,58
170,170,unhinged,4,15,4,109
171,171,hotel transylvania,12,11,10,7
172,172,annabelle,11,3,4,5
173,173,the invitation,6,15,3,56
174,174,gwoemul,4,6,16,107
175,175,resident evil: the final chapter,4,15,15,48
176,176,alone,6,15,3,56
177,177,ghostland,6,15,3,56
178,178,the devil's rejects,5,15,8,133
179,179,things heard &amp; seen,6,15,3,56
180,180,47 meters down: uncaged,9,6,16,85
181,181,1408,10,15,3,114
182,182,the covenant,4,11,13,4
183,183,the eden theory,11,14,4,69
184,184,case 39,11,3,4,5
185,185,saint maud,6,15,3,56
186,186,haunted mansion,8,6,9,91
187,187,underworld: blood wars,4,11,13,4
188,188,hellboy ii: the golden army,4,11,13,4
189,189,the addams family 2,12,11,10,7
190,190,annabelle: creation,11,3,4,5
191,191,jaws 3-d,9,15,4,101
192,192,the return of the living dead,8,15,15,42
193,193,the autopsy of jane doe,11,3,4,5
194,194,scooby-doo 2: monsters unleashed,9,10,9,31
195,195,species,4,15,15,48
196,196,resident evil: extinction,4,15,15,48
197,197,let me in,6,12,16,36
198,198,green room,5,6,16,74
199,199,28 weeks later,4,11,16,58
200,200,high life,9,6,16,85
201,202,death note,5,6,13,141
202,203,in the mouth of madness,6,12,16,36
203,204,zombieland: double tap,4,10,16,98
204,205,jaws: the revenge,9,15,4,101
205,206,hollow man,4,15,15,48
206,207,the deep house,6,15,3,56
207,208,predator 2,4,15,15,48
208,209,kol,5,15,3,90
209,210,possessor,11,3,15,33
210,211,the island of dr. moreau,11,14,4,69
211,212,anaconda,4,11,16,58
212,213,pandorum,4,15,3,179
213,214,eli,6,15,3,56
214,215,the strangers,11,3,4,5
215,216,legion,4,12,16,106
216,217,umma,6,15,3,56
217,218,pet sematary,10,15,4,19
218,219,megan is missing,6,15,4,6
219,220,blood red sky,4,11,13,4
220,221,velvet buzzsaw,11,3,4,5
221,222,a nightmare on elm street,5,6,16,74
222,223,deliver us from evil,4,11,5,105
223,224,the exorcism of emily rose,6,15,4,6
224,225,m3gan,11,14,4,69
225,226,the birds,6,15,3,56
226,227,unhuman,8,15,4,131
227,228,bones and all,6,15,0,57
228,229,dog soldiers,4,15,4,109
229,230,the pale blue eye,5,15,3,90
230,231,aftermath,6,15,3,56
231,232,piranha 3dd,8,15,15,42
232,233,hansel &amp; gretel: witch hunters,4,12,16,106
233,234,there's someone inside your house,11,3,4,5
234,235,the lodge,6,15,3,56
235,236,ouija: origin of evil,6,15,3,56
236,237,kimetsu no yaiba: mugen ressha-hen,12,4,11,3
237,238,the furies,4,15,4,109
238,239,silent night,8,6,16,35
239,240,"as above, so below",11,3,4,5
240,241,pride and prejudice and zombies,4,10,13,111
241,242,blade ii,4,15,15,48
242,243,disappointment blvd.,8,6,16,35
243,244,happy death day,8,15,3,54
244,245,avpr: aliens vs predator - requiem,4,11,16,58
245,246,la piel que habito,6,15,4,6
246,247,planet terror,4,10,13,111
247,248,braindead,8,12,16,22
248,249,they look like people,6,15,3,56
249,250,monstrous,11,3,4,5
250,251,lifeforce,4,15,3,179
251,253,jacob's ladder,6,15,3,56
252,254,the last house on the left,5,15,4,124
253,255,låt den rätte komma in,6,12,16,36
254,256,the gift,6,12,16,36
255,257,resident evil: afterlife,4,15,15,48
256,258,paranormal activity: next of kin,11,3,4,5
257,259,1922,5,6,16,74
258,260,goosebumps,9,10,13,100
259,261,dracula untold,4,6,13,44
260,262,i see you,5,6,16,74
261,263,grindhouse,4,15,4,109
262,264,blade: trinity,4,15,15,48
263,265,mama,10,15,4,19
264,266,the grudge,11,3,4,5
265,267,night teeth,4,5,7,9
266,268,beetlejuice 2,8,12,16,22
267,269,twin peaks: fire walk with me,6,15,3,56
268,270,renfield,8,12,16,22
269,271,annabelle comes home,11,3,4,5
270,272,skinwalker ranch,11,3,15,33
271,273,his house,6,15,4,6
272,274,[rec],11,3,4,5
273,275,color out of space,11,3,15,33
274,276,it comes at night,6,15,3,56
275,277,the wicker man,11,3,4,5
276,278,the bad batch,4,15,3,179
277,279,tumbbad,6,12,16,36
278,280,underworld: awakening,4,12,16,106
279,281,#saraitda,4,6,16,107
280,282,the wolf of snow hollow,8,15,3,54
281,283,the unholy,6,15,3,56
282,284,south of heaven,4,5,7,9
283,285,buffy the vampire slayer,4,10,13,111
284,286,amsterdamned,4,5,16,127
285,287,ôdishon,6,15,3,56
286,288,werewolves within,8,15,3,54
287,289,the endless,6,12,16,36
288,290,the twin,6,15,3,56
289,291,spawn,4,6,16,107
290,292,maximum overdrive,4,10,16,98
291,293,satanico pandemonium: la sexorcista,11,3,4,5
292,294,shadow in the cloud,4,15,12,108
293,295,the craft: legacy,6,12,16,36
294,296,return to oz,9,9,13,50
295,297,from hell,11,3,4,5
296,298,better watch out,8,15,4,131
297,299,don't look now,6,15,3,56
298,300,hellraiser,11,3,4,5
299,301,i onde dager,4,10,16,98
300,302,apostle,6,12,16,36
301,303,busanhaeng 2: bando,4,15,4,109
302,304,what lies beneath,6,15,3,56
303,305,revenge,4,15,4,109
304,306,the room,6,12,16,36
305,307,leviathan,9,15,3,183
306,308,warm bodies,8,15,0,120
307,309,backcountry,9,6,16,85
308,310,the frighteners,8,12,16,22
309,311,videodrome,11,14,4,69
310,312,friday the 13th part 2,11,3,4,5
311,313,cat people,10,15,4,19
312,314,il racconto dei racconti - tale of tales,6,12,16,36
313,315,scouts guide to the zombie apocalypse,4,10,16,98
314,316,rogue,4,6,16,107
315,317,daybreakers,4,15,15,48
316,318,flux gourmet,8,6,16,35
317,319,assassination nation,4,10,5,2
318,320,the call,4,11,5,105
319,321,summer of 84,6,15,3,56
320,322,spontaneous,8,6,16,35
321,323,hidden,11,14,4,69
322,324,hotel transylvania 3: summer vacation,12,11,10,7
323,325,bride of chucky,8,15,4,131
324,326,bhool bhulaiyaa,8,15,3,54
325,327,frankenstein,6,15,0,57
326,328,yoga hosers,4,10,16,98
327,329,violent night,4,10,5,2
328,330,the final girls,8,6,13,60
329,331,slender man,11,3,4,5
330,332,the curse of la llorona,11,3,4,5
331,333,insidious: chapter 2,11,3,4,5
332,334,sinister 2,11,3,4,5
333,335,slither,8,15,15,42
334,336,a house on the bayou,11,3,4,5
335,337,"batman: the long halloween, part one",12,4,5,62
336,338,scanners,11,14,4,69
337,339,the velocipastor,4,11,10,12
338,340,my bloody valentine,11,3,4,5
339,341,grizzly ii: the predator,11,2,4,5
340,342,end of days,4,12,16,106
341,343,the addams family,12,10,9,45
342,344,in the tall grass,11,3,15,33
343,345,odd thomas,8,12,16,22
344,346,el orfanato,6,15,3,56
345,347,30 days of night,4,11,16,58
346,348,the woman in black,6,12,16,36
347,349,nightbreed,4,12,16,106
348,350,lake placid,4,10,16,98
349,351,the void,11,3,15,33
350,352,the love witch,8,15,0,120
351,353,ouija,11,3,4,5
352,354,queen of the damned,6,12,16,36
353,355,black death,4,6,16,107
354,356,becky,4,5,7,9
355,357,alligator,11,14,4,69
356,358,troll,8,12,16,22
357,359,demonic,6,15,15,11
358,360,re-animator,8,15,15,42
359,361,flatliners,6,15,3,56
360,362,jigsaw,5,15,3,90
361,363,house on haunted hill,5,12,16,36
362,364,pi,6,15,3,56
363,365,the collector,4,15,4,109
364,366,dark skies,11,14,4,69
365,367,abraham lincoln: vampire hunter,4,12,16,106
366,368,existenz,11,3,15,33
367,369,gremlins 2: the new batch,8,12,16,22
368,370,ma,11,3,4,5
369,371,the witches of eastwick,8,12,16,22
370,372,killer klowns from outer space,8,15,15,42
371,373,all the boys love mandy lane,11,3,4,5
372,374,jason x,4,15,15,48
373,375,leprechaun,8,12,16,22
374,376,the blob,11,14,4,69
375,377,devil,11,3,4,5
376,378,brahms: the boy ii,6,15,3,56
377,379,vampire academy,4,10,7,129
378,380,an american crime,2,5,7,123
379,381,the silence,6,15,15,11
380,382,le pacte des loups,4,11,7,27
381,383,the brothers grimm,4,11,10,12
382,384,the purge: anarchy,4,15,15,48
383,385,master,6,15,3,56
384,386,warhunt,4,15,4,109
385,387,dead ringers,6,15,4,6
386,388,the taking,11,3,4,5
387,389,insidious: the last key,11,3,4,5
388,390,morgan,4,15,15,48
389,391,the uninvited,6,12,16,36
390,392,bait,4,12,16,106
391,393,earth vs. the flying saucers,4,15,15,48
392,394,antebellum,6,15,3,56
393,395,piranha,8,15,15,42
394,396,thelma,6,12,16,36
395,397,unfriended,11,3,4,5
396,398,critters,8,15,15,42
397,399,lords of chaos,2,6,16,138
398,400,troll 2,8,12,16,22
399,401,the dead zone,6,15,15,11
400,402,sweetheart,9,15,15,130
401,403,a classic horror story,6,15,3,56
402,404,the haunting,10,15,3,114
403,405,the wolfman,6,12,16,36
404,406,synchronic,5,6,16,74
405,407,priest,4,11,13,4
406,408,insidious: chapter 3,11,3,4,5
407,409,child's play,6,15,15,11
408,410,zombie strippers!,8,15,15,42
409,411,the wraith,4,15,0,134
410,412,the skeleton key,6,15,3,56
411,413,circle,6,15,3,56
412,414,wolves,4,12,16,106
413,415,friday the 13th: a new beginning,11,3,4,5
414,416,invasion of the body snatchers,6,15,15,11
415,417,gretel &amp; hansel,10,15,3,114
416,418,king kong,9,15,15,130
417,419,the possession of hannah grace,11,3,4,5
418,420,the vanishing,6,15,3,56
419,421,wolf,6,15,0,57
420,422,hotel transylvania 2,12,11,10,7
421,423,orca,9,6,16,85
422,424,the fourth kind,11,3,15,33
423,425,phenomena,5,15,3,90
424,426,"janghwa, hongryeon",6,15,3,56
425,427,trauma,4,6,16,107
426,429,the girl with all the gifts,4,11,7,27
427,430,the crazies,9,15,3,183
428,431,red riding hood,10,15,3,114
429,432,the perfection,6,15,2,187
430,433,species ii,4,15,15,48
431,434,the forest,11,3,4,5
432,435,seed of chucky,8,15,4,131
433,436,where the wild things are,9,6,9,38
434,437,mayhem,4,10,16,98
435,438,unsane,6,15,3,56
436,439,creepshow,8,12,16,22
437,440,dead silence,11,3,4,5
438,442,arachnophobia,8,15,4,131
439,444,"ich seh, ich seh",11,3,4,5
440,445,la región salvaje,6,15,3,56
441,446,stir of echoes,11,3,4,5
442,447,captive state,4,15,15,48
443,448,the reef,9,6,16,85
444,449,the owners,8,5,16,35
445,450,wes craven's new nightmare,10,15,3,114
446,451,wounds,6,15,3,56
447,452,the moth diaries,6,12,16,36
448,453,hounds of love,5,6,16,74
449,454,the unborn,11,3,4,5
450,455,black box,11,3,15,33
451,456,a quiet place: day one,6,15,15,11
452,457,the little girl who lives down the lane,6,15,3,56
453,458,the possession,11,3,4,5
454,459,idle hands,8,12,16,22
455,460,the sword and the sorcerer,4,11,13,4
456,461,malevolent,11,3,4,5
457,462,saw 3d,5,15,3,90
458,463,open water,9,6,16,85
459,464,the accursed,6,15,3,56
460,465,excision,8,6,16,35
461,466,the sixth secret,8,15,3,54
462,467,the purge: election year,4,15,15,48
463,468,dreamcatcher,6,15,15,11
464,469,the omen,6,12,16,36
465,470,v/h/s/94,11,3,4,5
466,471,bubba ho-tep,8,12,16,22
467,472,the haunted mansion,8,9,13,18
468,473,leatherface,5,15,4,124
469,474,repo! the genetic opera,11,7,15,150
470,475,ghosts of war,11,8,12,197
471,476,dark water,6,15,3,56
472,477,ghosts of mars,4,15,15,48
473,478,nightbooks,7,12,16,22
474,479,elizabeth harvest,11,14,4,69
475,480,wendell and wild,12,11,10,7
476,481,splinter,11,14,4,69
477,482,shin gojira,4,6,16,107
478,483,the monster squad,4,10,13,111
479,484,cell,4,11,16,58
480,485,berlin syndrome,6,15,3,56
481,486,cam,6,15,3,56
482,487,bakjwi,6,12,16,36
483,488,regression,9,5,7,21
484,489,shutter,11,3,4,5
485,490,deep rising,4,11,16,58
486,491,silent hill: revelation,11,3,4,5
487,492,ghoulies,8,12,16,22
488,493,dracula 2000,4,12,16,106
489,494,land of the dead,11,14,4,69
490,495,the last days on mars,9,15,15,130
491,496,al tercer día,6,12,16,36
492,497,saw iii,5,15,3,90
493,498,ginger snaps,6,12,16,36
494,499,kill list,4,5,16,127
495,500,das cabinet des dr. caligari,11,3,4,5
496,501,aileen wuornos: american boogeywoman,6,15,4,6
497,502,maniac,5,6,16,74
498,503,noroi,11,3,4,5
499,504,altered states,11,14,4,69
500,505,the cave,9,15,15,130
501,506,unfriended: dark web,11,3,4,5
502,507,the relic,11,3,15,33
503,508,henry: portrait of a serial killer,2,5,7,123
504,509,witch hunt,10,15,4,19
505,510,in the earth,11,3,15,33
506,511,coming home in the dark,5,15,4,124
507,512,the toxic avenger,4,10,16,98
508,513,dark cloud,11,14,4,69
509,514,before i wake,6,12,16,36
510,515,gothika,11,3,4,5
511,517,cure,5,15,3,90
512,518,house,8,12,16,22
513,519,nocturne,6,15,2,187
514,520,bloody hell,4,10,16,98
515,521,we summon the darkness,11,2,4,5
516,522,my friend dahmer,2,6,16,138
517,523,the good neighbor,5,6,16,74
518,524,antiviral,11,3,15,33
519,526,insidious 5,6,15,4,6
520,527,gremlins 3,8,12,16,22
521,528,twixt,8,12,16,22
522,529,village of the damned,11,14,4,69
523,530,the ward,11,3,4,5
524,531,jason goes to hell: the final friday,10,15,4,19
525,532,trouble every day,6,15,4,6
526,533,occhiali neri,11,3,4,5
527,534,maneater,4,15,4,109
528,535,the return of the texas chainsaw massacre,8,15,4,131
529,536,quarantine,11,14,4,69
530,537,the first purge,4,15,15,48
531,538,the last train to new york,4,15,4,109
532,539,fear of rain,6,15,4,6
533,540,voces,9,6,16,85
534,541,daniel isn't real,5,6,13,141
535,542,winchester,6,12,16,36
536,543,spring,11,0,15,151
537,544,the stepford wives,8,15,15,42
538,545,red state,4,5,16,127
539,546,frankenhooker,8,15,15,42
540,547,maggie,6,15,15,11
541,548,ai amu a hîrô,4,10,16,98
542,549,tales from the crypt: demon knight,4,12,16,106
543,550,1br,6,15,4,6
544,551,the voices,8,5,13,178
545,552,sea fever,6,15,3,56
546,553,the sand,8,15,15,42
547,554,the last thing mary saw,6,15,4,6
548,555,cat's eye,8,15,4,131
549,556,black christmas,11,3,4,5
550,557,the rite,6,15,3,56
551,558,mil gritos tiene la noche,11,3,4,5
552,559,profondo rosso,11,3,4,5
553,560,we have a ghost,9,10,9,31
554,561,valentine,11,3,4,5
555,562,may,8,6,16,35
556,563,relic,6,15,3,56
557,564,split second,4,5,16,127
558,565,solomon kane,4,11,13,4
559,566,and soon the darkness,6,15,3,56
560,567,follow me,9,15,3,183
561,568,night of the comet,8,15,15,42
562,569,the people under the stairs,8,15,3,54
563,570,vampire's kiss,8,5,13,178
564,571,the haunting in connecticut,6,15,3,56
565,572,el espinazo del diablo,6,15,4,6
566,573,disturbing behavior,11,3,15,33
567,574,the free fall,6,15,3,56
568,575,false positive,11,3,4,5
569,576,john and the hole,6,15,4,6
570,577,night of the demons,8,12,16,22
571,578,mindhunters,5,15,4,124
572,579,supernova,11,14,4,69
573,580,eliza graves,6,15,3,56
574,581,cargo,6,15,15,11
575,582,halloween iii: season of the witch,11,3,15,33
576,583,a haunted house,8,12,16,22
577,584,come play,6,15,3,56
578,585,dark angel,4,5,16,127
579,586,an american werewolf in paris,8,12,16,22
580,587,bad taste,8,15,15,42
581,588,house at the end of the street,6,15,4,6
582,590,the stuff,8,15,15,42
583,591,cold skin,4,15,15,48
584,593,once bitten,8,6,13,60
585,594,without warning,11,14,4,69
586,595,cooties,4,10,16,98
587,596,hunter hunter,6,15,3,56
588,597,super dark times,5,6,16,74
589,598,tenebre,11,3,4,5
590,599,psycho ii,5,15,3,90
591,600,creep 2,5,6,16,74
592,601,the keep,6,12,16,36
593,602,saw vi,11,3,4,5
594,603,córki dancingu,6,12,16,36
595,604,lake mungo,6,15,3,56
596,605,the collection,4,11,16,58
597,606,quatermass and the pit,11,3,15,33
598,607,beyond the black rainbow,11,14,4,69
599,608,bad samaritan,5,15,4,124
600,609,tenemos la carne,6,12,16,36
601,610,look away,6,12,16,36
602,611,the prophecy,4,5,7,9
603,612,phantom of the paradise,8,6,13,60
604,613,the exorcist iii,6,15,3,56
605,614,trolljegeren,6,12,16,36
606,615,session 9,6,15,3,56
607,616,rubber,8,12,16,22
608,617,the descent: part 2,9,15,4,101
609,618,mientras duermes,9,5,7,21
610,619,the house on sorority row,11,3,4,5
611,620,the mothman prophecies,6,15,3,56
612,621,friday the 13th part viii: jason takes manhattan,9,15,4,101
613,622,february,11,3,4,5
614,623,saw iv,5,15,3,90
615,624,hobo with a shotgun,4,10,16,98
616,625,happy death day 2u,8,15,3,54
617,626,shut in,6,15,3,56
618,627,"batman: the long halloween, part two",12,4,5,62
619,628,black water,4,11,7,27
620,629,the oxford murders,9,5,16,85
621,630,down a dark hall,6,12,16,36
622,631,hell high,5,15,4,124
623,632,untitled: the walking dead movie,6,15,15,11
624,633,stay alive,10,15,3,114
625,634,slaughterhouse rulez,4,10,13,111
626,635,the other lamb,6,15,3,56
627,636,repulsion,6,15,4,6
628,637,hypochondriac,6,15,4,6
629,638,breach,4,15,15,48
630,639,sputnik,6,15,3,56
631,640,doom: annihilation,4,11,16,58
632,641,anacondas: the hunt for the blood orchid,4,11,16,58
633,642,book of shadows: blair witch 2,9,12,16,169
634,643,death of me,11,3,4,5
635,644,in fabric,8,6,13,60
636,645,i still see you,10,15,15,130
637,646,the midnight meat train,11,3,4,5
638,647,the order,11,3,4,5
639,648,cerdita,6,15,4,6
640,649,what lies below,11,3,15,33
641,650,eight legged freaks,4,11,10,12
642,651,a girl walks home alone at night,6,15,0,57
643,652,club dread,8,15,3,54
644,653,the divide,6,15,15,11
645,654,galaxy of terror,4,11,16,58
646,655,veneciafrenia,9,15,4,101
647,656,w lesie dzis nie zasnie nikt,10,15,3,114
648,657,the x files: i want to believe,5,6,16,74
649,658,dracula: dead and loving it,8,12,16,22
650,659,night of the creeps,8,15,15,42
651,660,ravenous,9,15,8,40
652,661,bug,6,15,4,6
653,662,books of blood,6,15,3,56
654,663,shingeki no kyojin,4,11,7,27
655,664,feast,4,10,16,98
656,665,john dies at the end,8,12,16,22
657,666,thor: love and thunder,4,11,10,12
658,667,jurassic world dominion,4,11,15,13
659,668,doctor strange in the multiverse of madness,4,11,13,4
660,669,everything everywhere all at once,4,11,10,12
661,670,lightyear,12,4,11,3
662,671,the northman,4,11,7,27
663,672,the batman,4,5,7,9
664,673,thor: ragnarok,4,11,10,12
665,674,the man from toronto,4,11,4,30
666,675,the princess,4,6,13,44
667,676,spider-man: no way home,4,11,13,4
668,677,spiderhead,4,5,7,9
669,678,the lost city,4,11,10,12
670,679,thor,4,11,13,4
671,680,the unbearable weight of massive talent,4,10,5,2
672,681,rocketry: the nambi effect,4,16,7,26
673,682,fantastic beasts: the secrets of dumbledore,4,11,13,4
674,683,no time to die,4,11,4,30
675,684,jurassic park,4,11,15,13
676,685,paws of fury: the legend of hank,12,4,10,104
677,686,12 strong,4,6,14,110
678,687,the marvels,4,11,13,4
679,688,avengers: endgame,4,11,7,27
680,689,dune: part one,4,11,7,27
681,690,thor: the dark world,4,11,13,4
682,691,eternals,4,11,13,4
683,692,dc league of super-pets,12,4,11,3
684,693,avatar: the way of water,4,11,15,13
685,694,the dark knight,4,5,7,9
686,695,ambulance,4,5,7,9
687,696,inception,4,11,15,13
688,697,free guy,4,11,10,12
689,698,black panther: wakanda forever,4,11,7,27
690,699,the woman king,4,6,14,110
691,700,black adam,4,12,15,164
692,701,sonic the hedgehog 2,4,11,10,12
693,702,avengers: infinity war,4,11,15,13
694,703,the lord of the rings: the fellowship of the ring,4,11,7,27
695,704,guardians of the galaxy,4,11,10,12
696,705,american made,4,10,5,2
697,706,major,4,16,7,26
698,707,star wars,4,11,13,4
699,708,jurassic world,4,11,15,13
700,709,expend4bles,4,11,4,30
701,710,samaritan,4,6,13,44
702,711,independence day,4,11,15,13
703,712,moonfall,4,11,15,13
704,713,doctor strange,4,11,13,4
705,714,blade runner 2049,4,6,3,102
706,715,interceptor,4,11,7,27
707,716,black widow,4,11,15,13
708,717,jurassic world: fallen kingdom,4,11,15,13
709,718,the gentlemen,4,10,5,2
710,719,avatar,4,11,13,4
711,720,the king's man,4,11,4,30
712,721,wanted,4,5,4,17
713,722,tenet,4,14,4,29
714,723,the suicide squad,4,11,10,12
715,724,the adam project,4,11,10,12
716,725,gladiator,4,11,7,27
717,726,léon,4,5,7,9
718,727,captain marvel,4,11,15,13
719,728,shang-chi and the legend of the ten rings,4,11,13,4
720,729,mad max: fury road,4,11,15,13
721,730,pirates of the caribbean: the curse of the black pearl,4,11,13,4
722,731,heat,4,5,7,9
723,732,star wars: episode i - the phantom menace,4,11,13,4
724,733,chips,4,10,5,2
725,734,spider-man: homecoming,4,11,15,13
726,735,guardians of the galaxy vol. 2,4,11,10,12
727,736,enola holmes,4,11,5,105
728,737,black panther,4,11,15,13
729,738,doragon boru supa supa hiro,12,4,11,3
730,739,spider-man,4,11,15,13
731,740,the avengers,4,11,15,13
732,741,wrath of man,4,5,4,17
733,742,the lord of the rings: the return of the king,4,11,7,27
734,743,nobody,4,5,7,9
735,744,the hunger games,4,11,15,13
736,745,minority report,4,5,3,184
737,746,the last duel,4,6,14,110
738,747,john wick,4,5,4,17
739,748,blade runner,4,6,15,0
740,749,suicide squad,4,11,13,4
741,750,iron man,4,11,15,13
742,751,khuda haafiz chapter ii: agni pariksha,4,5,7,9
743,752,john wick: chapter 4,4,5,4,17
744,753,guardians of the galaxy vol. 3,4,11,10,12
745,754,red notice,4,10,4,155
746,755,ford v ferrari,4,16,7,26
747,756,deadpool,4,11,10,12
748,757,star wars: episode ix - the rise of skywalker,4,11,13,4
749,758,warrior,4,6,1,46
